Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB;Label_CKP;Label_DN;périmètre;accord;désaccord_PER;désaccord_LOC;désaccord_ORG;désaccord_MISC;confusion
ave;PER;PER;PER;PER;PER;;;X;PER;;;;;X
la;PER;PER;PER;PER;PER;;;X;PER;;;;;X
tta;;;;;;;;;;;;;;
hussa;;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
queue;;;;;;;;;;;;;;
serea;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
];;;;;;;;;;;;;;
aos;;;;;;;;;;;;;;
trois;;;;;;;;;;;;;;
ohionnes;;;;;;;;;;;;;;
so;;;;;;;;;;;;;;
iront;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
an;;;;;;;;;;;;;;
pursuite;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
iap-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
pant;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Jaeanne;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
0;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
voyait;;;;;;;;;;;;;;
bian;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
aatait;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
ohiian;;;;;;;;;;;;;;
"
 ";;;;;;;;;;;;;;
malat;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
eriait;;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
eouit;;;;;;;;;;;;;;
aprhs;PER;PER;PER;PER;PER;;;X;PER;;;;;X
las;PER;PER;PER;PER;PER;;;X;PER;;;;;X
siona;PER;PER;PER;PER;PER;;;X;PER;;;;;X
pour;;;;;;;;;;;;;;
lea;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";;;;;;;;;;;;;;
fuire;;;;;;;;;;;;;;
revonir;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Infin;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
olla;;;;;;;;;;;;;;
envint;;;;;;;;;;;;;;
hout;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
muis;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
pen-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
dunt;PER;PER;PER;PER;PER;;;X;PER;;;;;X
s;;;;;;;;;;;;;;
tomps;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
mioutons;;;;;;;;;;;;;;
6taiont;;;;;;;;;;;;;;
entrs;;;;;;;;;;;;;;
duns;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
piiea;;;;;;;;;;;;;;
davoinaqui;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
dipandait;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
forme;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
propri6taire;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
truuvait;;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
co;;;;;;;;;;;;;;
mo;;;;;;;;;;;;;;
..;;;;;;;;;;;;;;
nt;PER;PER;PER;PER;PER;;;X;PER;;;;;X
avee;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";;;;;;;;;;;;;;
deux;;;;;;;;;;;;;;
personnes;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
 ";;;;;;;;;;;;;;
Hlal;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
hal;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
ty;;;;;;;;;;;;;;
psents;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
petito;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Jenne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
Ton;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mualtroe;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
fait;;;;;;;;;;;;;;
grAee;PER;PER;PER;PER;PER;;;X;PER;;;;;X
 ;PER;PER;;PER;PER;;;X;PER;;;;;X
porsonno;PER;PER;PER;PER;PER;;;X;PER;;;;;X
quund;PER;PER;PER;PER;PER;;;X;PER;;;;;X
onvu;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";;;;;;;;;;;;;;
sur;;;;;;;;;;;;;;
ses;;;;;;;;;;;;;;
terres;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
aura;;;;;;;;;;;;;;
donc;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
pros;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
verbal;;;;;;;;;;;;;;
u;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
url;;;;;;;;;;;;;;
Il;;;;;;;;;;;;;;
tait;;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
fle;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
de;;;;;;;;;;;;;;
naoirjmais;PER;PER;PER;PER;PER;;;X;PER;;;;;X
t;PER;PER;PER;PER;PER;;;X;PER;;;;;X
pris;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
rbienquilaillodevantlejugde;PER;PER;PER;PER;PER;;;X;PER;;;;;X
puix;PER;PER;PER;PER;PER;;;X;PER;;;;;X
aomms;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
autres;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-Non;;;;;;;;;;;;;;
petit;;;;;;;;;;;;;;
pre;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
Colis;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
0;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
"
 ";;;;;;;;;;;;;;
peetfont;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
mnsttro;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
enest;;;;;;;;;;;;;;
passa;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
fute;;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
j;;;;;;;;;;;;;;
ni;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
veill6;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
sur;;;;;;;;;;;;;;
ases;;;;;;;;;;;;;;
httes;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
voyes;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
ee;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
n6tais;;;;;;;;;;;;;;
occupe;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
chien;;;;;;;;;;;;;;
en-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
rag6;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
javis;;;;;;;;;;;;;;
peur;;;;;;;;;;;;;;
quil;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
mordtt;;;;;;;;;;;;;;
mes;;;;;;;;;;;;;;
chiennes;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
alent;;;;;;;;;;;;;;
leur;;;;;;;;;;;;;;
pesant;;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
or;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
elles;;;;;;;;;;;;;;
avaient;;;;;;;;;;;;;;
6t6;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mordues;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
serait;;;;;;;;;;;;;;
arriv6;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
du;;;;;;;;;;;;;;
malheur;;;;;;;;;;;;;;
dans;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
paya;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
KEstimes;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
vous;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
meme;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
dommage;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
gte;;;;;;;;;;;;;;
tire;;;;;;;;;;;;;;
e;;;;;;;;;;;;;;
isrsai;;;;;;;;;;;;;;
asi-;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tt;;;;;;;;;;;;;;
queo;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
serai;;;;;;;;;;;;;;
rentr6e;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
maison;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-Du;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
petite;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
veux;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
pre;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Tixier;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ait;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
condamnation;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
eomm;PER;PER;PER;PER;PER;;;X;PER;;;;;X
nun;PER;PER;PER;PER;PER;;;X;PER;;;;;X
autr;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
apprendre;;;;;;;;;;;;;;
i;;;;;;;;;;;;;;
voir;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
peu;;;;;;;;;;;;;;
plus;;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
indul-;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
gnte;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
pauvres;;;;;;;;;;;;;;
gens;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
sont;;;;;;;;;;;;;;
pris;;;;;;;;;;;;;;
sur;;;;;;;;;;;;;;
ses]nCON;;;;;;;;;;;;;;
FAITIR;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tarras;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Ia;;;;;;;;;;;;;;
vaia;;;;;;;;;;;;;;
allar;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
villa;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
oxprbs;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Iu;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
voia;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
qe;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ai;;;;;;;;;;;;;;
deux;;;;;;;;;;;;;;
bons;;;;;;;;;;;;;;
tmoin;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
i;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
E;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
:;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
EL;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
M-;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"

";;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Ag;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
7A;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
C;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
II;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"

";PER;PER;PER;PER;PER;;;X;PER;;;;;X
L;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";PER;PER;PER;PER;PER;;;X;PER;;;;;X
-0;PER;PER;PER;PER;PER;;;X;PER;;;;;X
E;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";;;;;;;;;;;;;;
1;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
II;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
"
";;;;;;;;;;;;;;
/.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
k;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
n;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
IW;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
"
";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
k.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
3d;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"

";MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
2E;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"

";MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
";";;;;;;;;;;;;;;
=;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
W;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"
";MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
K;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"
";;;;;;;;;;;;;;
3;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
is;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
gt;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
"
";;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"

";;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
iIe;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
P;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
"
";ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
IL;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
"
";ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
-,J;ORG;J;ORG;ORG;J;;;X;ORG;;;X;;X
";";ORG;;ORG;ORG;ORG;;;X;ORG;;;;;X
"

";ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
LiEelE;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
SI;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
"


";LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
IA;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
"
";;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
g;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
as;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Rr;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
erEEg'----;;;;;;;;;;;;;;
"
 ";;;;;;;;;;;;;;
6;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
t;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
mu0;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Jeane;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
dns;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
son;;;;;;;;;;;;;;
chagrin;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
te0ors;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
a;;;;;;;;;;;;;;
grand;;;;;;;;;;;;;;
Iols;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
Mon;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Dieul;PER;PER;PER;PER;PER;;;X;PER;;;;;X
que;;;;;;;;;;;;;;
j';;;;;;;;;;;;;;
ai;;;;;;;;;;;;;;
dono;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
chsgrinl;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
guand;PER;PER;PER;PER;PER;;;X;PER;;;;;X
elle;;;;;;;;;;;;;;
fut;;;;;;;;;;;;;;
seule.3RANN;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
RN;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
SEVI6GR;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Touta;PER;PER;PER;PER;PER;;;X;PER;;;;;X
eoup;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ella;;;;;;;;;;;;;;
pansa;;;;;;;;;;;;;;
quogrand;;;;;;;;;;;;;;
Louia;PER;PER;PER;PER;PER;;;X;PER;;;;;X
dtaitl';PER;PER;PER;PER;PER;;;X;PER;;;;;X
ami;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
re;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Calis;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
aspra;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
qu';;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
tirrit;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
do;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
lh;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Rlle;PER;PER;PER;PER;PER;;;X;PER;;;;;X
flt;PER;PER;PER;PER;PER;;;X;PER;;;;;X
rentrer;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
vite;;;;;;;;;;;;;;
ses;;;;;;;;;;;;;;
htes;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
mal-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
treE0;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
Iai;PER;PER;PER;PER;PER;;;X;PER;;;;;X
bien;;;;;;;;;;;;;;
onvio;PER;PER;PER;PER;PER;;;X;PER;;;;;X
d';PER;PER;PER;PER;PER;;;X;PER;;;;;X
allar;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
un;;;;;;;;;;;;;;
instant;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
villo;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
voir;;;;;;;;;;;;;;
lassemhla;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Si;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
voulao;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
0;;;;;;;;;;;;;;
ja;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
vais;;;;;;;;;;;;;;
faira;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
souper;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
;;;;;;;;;;;;;;
irai;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
hourg;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
ohereher;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
la;;;;;;;;;;;;;;
mbra;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
Feuillet;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"
";;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
tonir;;;;;;;;;;;;;;
compagnia;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
nest;;;;;;;;;;;;;;
gure;;;;;;;;;;;;;;
qua;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
oin;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
heuras;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
0;;;;;;;;;;;;;;
at;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
soir;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
fera;;;;;;;;;;;;;;
ulair;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ds;PER;PER;PER;PER;PER;;;X;PER;;;;;X
lune;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Va;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
mua;;;;;;;;;;;;;;
eunne;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
amuse;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
toi;;;;;;;;;;;;;;
hian;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
No;;;;;;;;;;;;;;
tin-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
quite;;;;;;;;;;;;;;
pus;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
soupor;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
j;PER;PER;PER;PER;PER;;;X;PER;;;;;X
lo;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ferai;PER;PER;PER;PER;PER;;;X;PER;;;;;X
fairo;PER;PER;PER;PER;PER;;;X;PER;;;;;X
par;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
mbrae;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";PER;PER;PER;PER;PER;;;X;PER;;;;;X
Feuillot;PER;PER;PER;PER;PER;;;X;PER;;;;;X
";";;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
ailleurs;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ils;;;;;;;;;;;;;;
n';;;;;;;;;;;;;;
auront;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
gnd';;;;;;;;;;;;;;
faim;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tous;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
revenunt;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Allons;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
fais;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
toi;;;;;;;;;;;;;;
bian;;;;;;;;;;;;;;
brave;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
n;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
leanna;PER;PER;PER;PER;PER;;;X;PER;;;;;X
s';;;;;;;;;;;;;;
ajusta;;;;;;;;;;;;;;
deo;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
mieux;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
partit;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ville;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
pssant;;;;;;;;;;;;;;
par;;;;;;;;;;;;;;
lo;;;;;;;;;;;;;;
bourg;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Quand;;;;;;;;;;;;;;
alle;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
fut;;;;;;;;;;;;;;
sur;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
grande;;;;;;;;;;;;;;
place;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
n';;;;;;;;;;;;;;
eut;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
peine;;;;;;;;;;;;;;
i;;;;;;;;;;;;;;
recon-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
naitre;;;;;;;;;;;;;;
gand;PER;PER;PER;PER;PER;;;X;PER;;;;;X
lLouis;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
tira;;;;;;;;;;;;;;
par;;;;;;;;;;;;;;
aa;PER;PER;PER;PER;PER;;;X;PER;;;;;X
manehe;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Il;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
retourna;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
colere;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
aussitt;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
vit;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
